minengneng,nengneng<v><av>
manengneng,nengneng<v><uv><prst>
ninengnengan,nengneng<v><uv><past>
miorad,orad<v><av>
maorad,orad<v><uv><prst>
nioradan,orad<v><uv><past>
mipalal,palal<v><av>
mapalal,palal<v><uv><prst>
nipalalan,palal<v><uv><past>
mipalu,palu<v><av>
mapalu,palu<v><uv><prst>
nipaluan,palu<v><uv><past>
mipatay,patay<v><av>
mapatay,patay<v><uv><prst>
nipatayan,patay<v><uv><past>
mipesiʼ,pesiʼ<v><av>
mapesiʼ,pesiʼ<v><uv><prst>
nipesiʼan,pesiʼ<v><uv><past>
mirepel,repel<v><av>
marepel,repel<v><uv><prst>
nirepelan,repel<v><uv><past>
miraraw,raraw<v><av>
mararaw,raraw<v><uv><prst>
nirarawan,raraw<v><uv><past>
mirohem,rohem<v><av>
marohem,rohem<v><uv><prst>
niroheman,rohem<v><uv><past>
misahalaka,sahalaka<v><av>
masahalaka,sahalaka<v><uv><prst>
nisahalakaan,sahalaka<v><uv><past>
misangaʼ,sangaʼ<v><av>
masangaʼ,sangaʼ<v><uv><prst>
nisangaʼan,sangaʼ<v><uv><past>
misetiʼ,setiʼ<v><av>
masetiʼ,setiʼ<v><uv><prst>
nisetiʼan,setiʼ<v><uv><past>
misimsim,simsim<v><av>
masimsim,simsim<v><uv><prst>
nisimsiman,simsim<v><uv><past>
mitalaw,talaw<v><av>
matalaw,talaw<v><uv><prst>
nitalawan,talaw<v><uv><past>
mitangtang,tangtang<v><av>
matangtang,tangtang<v><uv><prst>
nitangtangan,tangtang<v><uv><past>
mitayal,tayal<v><av>
matayal,tayal<v><uv><prst>
nitayalan,tayal<v><uv><past>
mitayni,tayni<v><av>
matayni,tayni<v><uv><prst>
nitaynian,tayni<v><uv><past>
mitayra,tayra<v><av>
matayra,tayra<v><uv><prst>
nitayraan,tayra<v><uv><past>
mitukas,tukas<v><av>
matukas,tukas<v><uv><prst>
nitukasan,tukas<v><uv><past>
miucur,ucur<v><av>
maucur,ucur<v><uv><prst>
niucuran,ucur<v><uv><past>
miulah,ulah<v><av>
maulah,ulah<v><uv><prst>
niulahan,ulah<v><uv><past>
miutak,utak<v><av>
mautak,utak<v><uv><prst>
niutakan,utak<v><uv><past>
miramaʼ,ramaʼ<v><av>
maramaʼ,ramaʼ<v><uv><prst>
niramaʼan,ramaʼ<v><uv><past>
mihan,han<v><av>
mahan,han<v><uv><prst>
nihanan,han<v><uv><past>
mikaʼaca,ʼaca<v><neg><av>
makaʼaca,ʼaca<v><neg><uv><prst>
nikaʼacaan,ʼaca<v><neg><uv><past>
mikaʼading,ʼading<v><neg><av>
makaʼading,ʼading<v><neg><uv><prst>
nikaʼadingan,ʼading<v><neg><uv><past>
mikaadop,adop<v><neg><av>
makaadop,adop<v><neg><uv><prst>
nikaadopan,adop<v><neg><uv><past>
mikaala,ala<v><neg><av>
makaala,ala<v><neg><uv><prst>
nikaalaan,ala<v><neg><uv><past>
mikaaraw,araw<v><neg><av>
makaaraw,araw<v><neg><uv><prst>
nikaarawan,araw<v><neg><uv><past>
mikaasip,asip<v><neg><av>
makaasip,asip<v><neg><uv><prst>
